,index,name,minutes,n_steps,ingredients,n_ingredients,ingredients_clean_processed,type
2157,63398,creamy mustard sauce  vegan,10,2,"['dry white wine', 'sour cream', 'dijon mustard', 'dried tarragon']",4,dry white wine sour cream dijon mustard dried tarragon,light_meal
2167,63717,creamy rice cereal  vegan,18,5,"['coconut milk', 'banana', 'pineapple juice', 'coconut extract', 'cooked rice', 'crushed pineapple', 'raisins']",7,coconut milk banana pineapple juice coconut extract cooked rice crushed pineapple raisins,snacks
2171,63937,creamy sweet potato and wild rice soup,20,13,"['olive oil', 'onion', 'garlic cloves', 'water', 'sweet potatoes', 'garam masala', 'cayenne', 'rolled oats', 'miso', 'cooked wild rice', 'parsley', 'bell pepper']",12,olive oil onion garlic cloves water sweet potatoes garam masala cayenne rolled oats miso cooked wild rice parsley bell pepper,main_meal
2211,64819,crispy dulse chips for sea vegetable lovers,5,9,"['dulse seaweed', 'sesame oil']",2,dulse seaweed sesame oil,snacks
2262,66930,croustarde aux pommes  apple crunch,50,9,"['apples', 'cinnamon', 'pure maple syrup', 'whole wheat flour', 'oatmeal', 'applesauce', 'brown sugar']",7,apples cinnamon pure maple syrup whole wheat flour oatmeal applesauce brown sugar,light_meal
2341,68521,curried greens by dr andrew weil,45,10,"['spinach', 'garlic cloves', 'curry powder', 'tomatoes', 'tomato paste', 'dark brown sugar', 'canola oil', 'onion', 'potato', 'fresh cilantro']",10,spinach garlic cloves curry powder tomatoes tomato paste dark brown sugar canola oil onion potato fresh cilantro,main_meal
2353,68656,curried red lentil and spinach soup,55,10,"['light olive oil', 'onion', 'red lentils', 'curry powder', 'frozen chopped spinach']",5,light olive oil onion red lentils curry powder frozen chopped spinach,main_meal
2423,69763,dark meat seitan,120,20,"['olive oil', 'red miso', 'molasses', 'tomato paste', 'braggs liquid aminos', 'balsamic vinegar', 'garlic cloves', 'dried basil', 'dried oregano', 'paprika', 'salt', 'peppercorn', 'onion powder', 'cayenne powder', 'port wine', 'vegetable stock', 'water', 'seitan']",18,olive oil red miso molasses tomato paste braggs liquid aminos balsamic vinegar garlic cloves dried basil dried oregano paprika salt peppercorn onion powder cayenne powder port wine vegetable stock water seitan,main_meal
2430,69989,david lynch s quinoa,20,10,"['quinoa', 'water', 'sea salt', 'vegetable bouillon cube', 'broccoli spear', 'braggs liquid aminos', 'extra virgin olive oil']",7,quinoa water sea salt vegetable bouillon cube broccoli spear braggs liquid aminos extra virgin olive oil,snacks
2432,70178,debra s peanut butter squares,15,15,"['graham crackers', ""confectioners' sugar"", 'crunchy peanut butter', 'margarine', 'chocolate']",5,graham crackers confectioners sugar crunchy peanut butter margarine chocolate,snacks
2442,70312,decorators  icing,10,2,"['powdered sugar', 'vegetable shortening', 'tap water', 'butter flavoring', 'vanilla extract']",5,powdered sugar vegetable shortening tap water butter flavoring vanilla extract,desserts
2448,70491,deep south spinach,20,7,"['frozen spinach', 'peanut oil', 'red pepper flakes', 'cider vinegar', 'vegetable stock', 'garlic', 'onions', 'tabasco sauce']",8,frozen spinach peanut oil red pepper flakes cider vinegar vegetable stock garlic onions tabasco sauce,other
2449,70492,deep south stew,35,3,"['low-fat cooking spray', 'onion', 'garlic clove', 'baby carrots', 'green beans', 'sweetcorn', 'tomato puree', 'chopped tomatoes', 'chili flakes', 'ground cinnamon', 'red kidney beans', 'vegetable stock']",12,low fat cooking spray onion garlic clove baby carrots green beans sweetcorn tomato puree chopped tomatoes chili flakes ground cinnamon red kidney beans vegetable stock,main_meal
2454,70617,delectable vegan brownies,35,8,"['white flour', 'wheat flour', 'water', 'brown sugar', 'sugar', 'salt', 'vanilla extract', 'unsweetened cocoa', 'vegetable oil', 'baking powder', 'nuts', 'semisweet vegan chocolate chips']",12,white flour wheat flour water brown sugar sugar salt vanilla extract unsweetened cocoa vegetable oil baking powder nuts semisweet vegan chocolate chips,snacks
2458,70693,delicious and simple potato soup  vegan,60,7,"['vegetable oil', 'onions', 'celery', 'potatoes', 'garlic cloves', 'onion powder', 'water', 'thyme', 'basil', 'salt', 'fresh parsley', 'dill']",12,vegetable oil onions celery potatoes garlic cloves onion powder water thyme basil salt fresh parsley dill,main_meal
2472,71220,delightful date squares,70,11,"['water', 'pitted dates', 'salt', 'rolled oats', 'flour', 'dry sweetener', 'baking powder', 'baking soda', 'cinnamon', 'vegan margarine', 'oil']",11,water pitted dates salt rolled oats flour dry sweetener baking powder baking soda cinnamon vegan margarine oil,snacks
2475,71413,design your own flavored vodka,5770,9,"['fruit', 'vodka']",2,fruit vodka,main_meal
2496,72452,disappearing carrot salad,25,6,"['walnuts', 'coconut', 'carrots', 'apple', 'lemon', 'orange juice', 'currants', 'salt', 'gingerroot']",9,walnuts coconut carrots apple lemon orange juice currants salt gingerroot,snacks
2499,72556,diz s best spinach quiche ever   vegan,65,15,"['firm tofu', 'frozen chopped spinach', 'sweet onion', 'zucchini', 'cremini mushrooms', 'sherry wine', 'garlic cloves', 'fresh basil leaves', 'lemon juice', 'rice vinegar', 'dried thyme', 'olive oil', 'sea salt', 'red pepper flakes', 'deep dish pie shell', 'butter-flavored cooking spray', 'paprika']",17,firm tofu frozen chopped spinach sweet onion zucchini cremini mushrooms sherry wine garlic cloves fresh basil leaves lemon juice rice vinegar dried thyme olive oil sea salt red pepper flakes deep dish pie shell butter flavored cooking spray paprika,snacks
2513,72873,dosa  sourdough rice crepes,1200,36,"['lentils', 'long grain rice', 'fenugreek seeds', 'salt', 'baking soda', 'gingelly oil']",6,lentils long grain rice fenugreek seeds salt baking soda gingelly oil,snacks
2514,72874,dosas  indian rice and lentil pancakes,45,12,"['bottled water', 'basmati rice', 'urad dal', 'sugar', 'sea salt', 'vegetable oil']",6,bottled water basmati rice urad dal sugar sea salt vegetable oil,snacks
2652,77022,easy low fat  low carb low cal diet soup,25,4,"['cucumber', 'tomatoes', 'celery rib', 'onion', 'cabbage', 'vegetable bouillon cube', 'bay leaf', 'fresh green herbs', 'water', 'salt']",10,cucumber tomatoes celery rib onion cabbage vegetable bouillon cube bay leaf fresh green herbs water salt,main_meal
2664,77420,easy pan con tomato,10,6,"['peasant bread', 'olive oil', 'tomatoes', 'garlic salt', 'salt']",5,peasant bread olive oil tomatoes garlic salt salt,snacks
2690,78172,easy split pea and barley stew,70,8,"['vegetable oil', 'onion', 'celery', 'carrots', 'split peas', 'pearl barley', 'tomatoes', 'tomato puree', 'salt and pepper']",9,vegetable oil onion celery carrots split peas pearl barley tomatoes tomato puree salt pepper,snacks
2710,78526,easy vegan cream of broccoli soup,25,10,"['broccoli', 'onion', 'garlic clove', 'vegetable broth', 'unbleached all-purpose flour', 'soymilk', 'soy sauce', 'basil', 'salt and pepper']",9,broccoli onion garlic clove vegetable broth unbleached purpose flour soymilk soy sauce basil salt pepper,main_meal
2722,78567,easy vegetarian soup,105,6,"['white beans', 'garlic', 'onion', 'carrots', 'celery', 'red pepper', 'frozen corn', 'frozen peas', 'tomatoes', 'v8 vegetable juice', 'vegetable bouillon cubes', 'water', 'basil', 'tarragon', 'rosemary', 'salt']",16,white beans garlic onion carrots celery red pepper frozen corn frozen peas tomatoes v8 vegetable juice vegetable bouillon cubes water basil tarragon rosemary salt,snacks
2767,79284,eggless  milkless chocolate muffins,45,6,"['all-purpose flour', 'white sugar', 'unsweetened cocoa powder', 'vegetable oil', 'water', 'baking soda', 'salt', 'vanilla extract']",8,purpose flour white sugar unsweetened cocoa powder vegetable oil water baking soda salt vanilla extract,snacks
2787,79594,eggplant pasta sauce,75,6,"['olive oil', 'garlic cloves', 'eggplant', 'green bell peppers', 'tomatoes', 'black olives', 'capers', 'dried oregano', 'dried basil', 'salt', 'fresh ground black pepper', 'tomato paste', 'dry white wine']",13,olive oil garlic cloves eggplant green bell peppers tomatoes black olives capers dried oregano dried basil salt fresh ground black pepper tomato paste dry white wine,main_meal
2791,79610,eggplant salad  melitzanosalata,90,5,"['eggplants', 'onion', 'garlic cloves', 'tomatoes', 'olive oil', 'vinegar', 'salt and pepper', 'ripe olives', 'green pepper']",9,eggplants onion garlic cloves tomatoes olive oil vinegar salt pepper ripe olives green pepper,main_meal
2799,79856,egyptian red lentil soup,50,4,"['onion', 'red lentil', 'vegetable stock', 'salt', 'pepper', 'cumin', 'turmeric', 'cilantro', 'cayenne', 'lemon juice', 'olive oil']",11,onion red lentil vegetable stock salt pepper cumin turmeric cilantro cayenne lemon juice olive oil,main_meal
2832,80845,ensalada valenciana,64,2,"['oranges', 'onion', 'olive oil', 'red wine vinegar', 'salt', 'fresh ground black pepper', 'salad greens']",7,oranges onion olive oil red wine vinegar salt fresh ground black pepper salad greens,light_meal
2851,81111,eureka  they will all eat it vegetable soup,55,7,"['olive oil', 'onion', 'celery', 'garlic clove', 'carrots', 'cabbage', 'potatoes', 'dried thyme', 'dried rosemary', 'fresh parsley', 'water', 'tomatoes', 'salt and pepper']",13,olive oil onion celery garlic clove carrots cabbage potatoes dried thyme dried rosemary fresh parsley water tomatoes salt pepper,snacks
2919,82867,favorite smoothie  vegan,10,5,"['soymilk', 'orange juice', 'almond butter', 'flax seeds', 'avocado', 'frozen blueberries', 'frozen strawberries', 'banana']",8,soymilk orange juice almond butter flax seeds avocado frozen blueberries frozen strawberries banana,snacks
2947,83742,fig conserve,45,6,"['figs', 'crushed pineapple', 'lemons', 'salt', 'pecans', 'sugar']",6,figs crushed pineapple lemons salt pecans sugar,light_meal
2953,83968,filling for dosa pancake,45,19,"['potato', 'onions', 'green chilies', 'gingerroot', 'frozen peas', 'turmeric powder', 'salt', 'coriander leaves', 'water', 'oil', 'mustard seeds', 'asafoetida powder', 'black gram dal', 'bengal gram dal', 'dried red chili', 'curry leaves']",16,potato onions green chilies gingerroot frozen peas turmeric powder salt coriander leaves water oil mustard seeds asafoetida powder black gram dal bengal gram dal dried red chili curry leaves,main_meal
2964,84167,fire roasted salsa,20,12,"['tomatoes', 'spanish onions', 'poblano pepper', 'jalapeno peppers', 'garlic clove', 'kosher salt', 'fresh ground pepper', 'cilantro', 'lime, juice of', 'olive oil']",10,tomatoes spanish onions poblano pepper jalapeno peppers garlic clove kosher salt fresh ground pepper cilantro lime juice olive oil,snacks
2973,84524,five grain hot cereal,20,33,"['oatmeal', 'quick-cooking barley', 'brown rice', 'whole wheat flour', 'cornmeal', 'sesame seeds']",6,oatmeal quick cooking barley brown rice whole wheat flour cornmeal sesame seeds,snacks
2975,84550,five minute vegan pancakes,20,8,"['whole wheat pastry flour', 'unrefined sugar', 'baking powder', 'sea salt', 'almond milk', 'apple cider vinegar', 'natural applesauce', 'vanilla', 'semisweet vegan chocolate chips', 'berries', 'ground cinnamon']",11,whole wheat pastry flour unrefined sugar baking powder sea salt almond milk apple cider vinegar natural applesauce vanilla semisweet vegan chocolate chips berries ground cinnamon,breakfast
2988,84878,flax eggs,15,10,"['flax seed', 'water']",2,flax seed water,main_meal
2997,84963,floating hands halloween punch,20,9,"['fruit juice', 'frozen lemonade concentrate', 'carbonated lemon-lime beverage']",3,fruit juice frozen lemonade concentrate carbonated lemon lime beverage,snacks
3032,85824,fragrant rice pilaf,56,9,"['basmati rice', 'water', 'vegetable oil', 'cloves', 'black cardamom pods', 'bay leaves', 'cinnamon sticks', 'black peppercorns', 'cumin seeds', 'coriander seeds', 'salt', 'cilantro']",12,basmati rice water vegetable oil cloves black cardamom pods bay leaves cinnamon sticks black peppercorns cumin seeds coriander seeds salt cilantro,snacks
3091,87238,fresh salsa with avocado and black beans,20,3,"['tomatoes', 'avocado', 'black beans', 'white shoepeg corn', 'jalapeno peppers', 'green bell pepper', 'red onion', 'fresh cilantro', 'balsamic vinaigrette']",9,tomatoes avocado black beans white shoepeg corn jalapeno peppers green bell pepper red onion fresh cilantro balsamic vinaigrette,snacks
3135,88255,frothy melon juice,5,2,"['cantaloupe', 'oranges', 'ginger', 'cucumbers']",4,cantaloupe oranges ginger cucumbers,other
3144,88586,fruit  salad in a cantaloupe basket,80,12,"['cantaloupe', 'honeydew melon', 'superfine sugar', 'fresh lime juice', 'lemon juice', 'orange-flavored liqueur', 'lime zest', 'fresh strawberries', 'seedless black grapes']",9,cantaloupe honeydew melon superfine sugar fresh lime juice lemon juice orange flavored liqueur lime zest fresh strawberries seedless black grapes,light_meal
3146,88629,fruit and grain cereal,6,6,"['old fashioned oats', 'wheat bran', 'barley nugget cereal', 'toasted wheat germ', 'peach', 'raisins', 'dried apricot', 'nuts']",8,old fashioned oats wheat bran barley nugget cereal toasted wheat germ peach raisins dried apricot nuts,snacks
3149,88644,fruit and nut rice pilaf,25,6,"['basmati rice', 'orange juice', 'pine nuts', 'raisins', 'scallions', 'fresh cilantro', 'salt and pepper', 'water']",8,basmati rice orange juice pine nuts raisins scallions fresh cilantro salt pepper water,snacks
3151,88650,fruit and nut sweet potato fusion,35,4,"['sweet potatoes', 'butter', 'orange juice', 'light brown sugar', 'cinnamon', 'nutmeg', 'almonds', 'dried cranberries']",8,sweet potatoes butter orange juice light brown sugar cinnamon nutmeg almonds dried cranberries,snacks
3170,89010,fruits in syrup,70,6,"['sugar', 'water', 'dry sherry', 'lemon juice', 'orange', 'fresh pineapple', 'litchis']",7,sugar water dry sherry lemon juice orange fresh pineapple litchis,light_meal
3180,89111,fruity rice casserole,100,10,"['brown rice', 'pineapple chunks in juice', 'tofu', 'yam', 'carrots', 'raisins', 'apple', 'cinnamon', 'salt', 'pepper', 'water']",11,brown rice pineapple chunks juice tofu yam carrots raisins apple cinnamon salt pepper water,snacks
3187,89166,fsd   fried rice with pineapple and tofu,22,14,"['firm tofu', 'roasted peanuts', 'salt', 'red bell pepper', 'green onion', 'green peas', 'snow peas', 'cooked long-grain brown rice', 'fresh cilantro', 'pineapple chunks in juice', 'low sodium soy sauce', 'unsalted dry roasted peanuts']",12,firm tofu roasted peanuts salt red bell pepper green onion green peas snow peas cooked long grain brown rice fresh cilantro pineapple chunks juice low sodium soy sauce unsalted dry roasted peanuts,snacks
3190,89261,fudgy  almost  guiltless vegan brownies,30,7,"['all-purpose flour', 'unsweetened cocoa powder', 'stevia', 'unsweetened applesauce', 'vanilla extract', 'baking powder', 'salt', 'ghirardelli semi-sweet chocolate chips']",8,purpose flour unsweetened cocoa powder stevia unsweetened applesauce vanilla extract baking powder salt ghirardelli semi sweet chocolate chips,desserts
3194,89338,ful medames,25,8,"['fava beans', 'tomatoes', 'garlic cloves', 'onion', 'ground cumin', 'lemon', 'olive oil', 'salt']",8,fava beans tomatoes garlic cloves onion ground cumin lemon olive oil salt,main_meal
3270,90752,garlic herb pita toasts,20,9,"['pita bread rounds', 'extra virgin olive oil', 'fresh flat-leaf parsley', 'fresh chives', 'fresh garlic cloves', 'coarse salt']",6,pita bread rounds extra virgin olive oil fresh flat leaf parsley fresh chives fresh garlic cloves coarse salt,snacks
3340,92083,ginger noodles,18,3,"['soba noodles', 'seasoned rice vinegar', 'soy sauce', 'fresh ginger', 'garlic cloves', 'fresh jalapeno pepper', 'green onions', 'fresh cilantro']",8,soba noodles seasoned rice vinegar soy sauce fresh ginger garlic cloves fresh jalapeno pepper green onions fresh cilantro,snacks
3355,92316,ginger tomato chutney,28,9,"['rice vinegar', 'golden brown sugar', 'fresh ginger', 'tomatoes with juice', 'cinnamon stick']",5,rice vinegar golden brown sugar fresh ginger tomatoes juice cinnamon stick,light_meal
3364,92525,gingered watermelon juice,10,5,"['watermelon', 'fresh ginger']",2,watermelon fresh ginger,main_meal
3378,92893,glazed vegetable stir fry,15,6,"['sugar', 'lemon, zest of', 'low sodium soy sauce', 'lemon juice', 'cornstarch', 'water', 'cooking oil', 'broccoli florets', 'red bell pepper', 'jicama']",10,sugar lemon zest low sodium soy sauce lemon juice cornstarch water cooking oil broccoli florets red bell pepper jicama,light_meal
3380,92998,gluten free and vegan breakfast bars,30,8,"['almond flour', 'sea salt', 'baking soda', 'grapeseed oil', 'agave nectar', 'vanilla extract', 'shredded coconut', 'pumpkin seeds', 'sunflower seeds', 'slivered almonds', 'raisins']",11,almond flour sea salt baking soda grapeseed oil agave nectar vanilla extract shredded coconut pumpkin seeds sunflower seeds slivered almonds raisins,breakfast
3386,93237,gluten free vegan banana bread,55,6,"['brown rice flour', 'millet flour', 'sugar', 'ground flax seeds', 'cinnamon', 'baking powder', 'guar gum', 'salt', 'bananas', 'water', 'walnuts']",11,brown rice flour millet flour sugar ground flax seeds cinnamon baking powder guar gum salt bananas water walnuts,snacks
3393,93336,gluten free dressing   stuffing with dried fruit   kosher,60,13,"['gluten free bread', 'vegetable oil', 'apple cider', 'prune', 'dried apricot', 'margarine', 'celery', 'onion', 'seasoning', 'salt and pepper', 'poultry drippings']",11,gluten free bread vegetable oil apple cider prune dried apricot margarine celery onion seasoning salt pepper poultry drippings,snacks
3394,93362,gluten free lebanese tabbouleh  using quinoa,35,3,"['quinoa', 'flat leaf parsley', 'green onions', 'grape tomatoes', 'cucumber', 'lemon, juice of', 'extra virgin olive oil', 'sea salt']",8,quinoa flat leaf parsley green onions grape tomatoes cucumber lemon juice extra virgin olive oil sea salt,snacks
3404,93667,goddess salad dressing,5,3,"['olive oil', 'toasted sesame oil', 'tahini', 'cider vinegar', 'lemon juice', 'tamari', 'green onions', 'garlic', 'parsley', 'cumin', 'ground black pepper', 'water']",12,olive oil toasted sesame oil tahini cider vinegar lemon juice tamari green onions garlic parsley cumin ground black pepper water,light_meal
3425,94065,gomae   japanese style spinach salad,5,13,"['sesame seeds', 'water', 'soy sauce', 'sugar', 'salt', 'spinach']",6,sesame seeds water soy sauce sugar salt spinach,main_meal
3428,94183,good morning delight juice  carrot  berries and apple,2,1,"['carrot', 'red delicious apple', 'fresh strawberries']",3,carrot red delicious apple fresh strawberries,snacks
3435,94594,goya chickpea salad,33,2,"['chickpeas', 'cucumber', 'red pepper', 'red onion', 'mexican oregano', 'garlic powder', 'balsamic vinegar', 'olive oil', 'salt and pepper']",9,chickpeas cucumber red pepper red onion mexican oregano garlic powder balsamic vinegar olive oil salt pepper,snacks
3453,95681,granny s italian slaw,20,5,"['cabbage', 'sweet onion', 'sugar', 'vinegar', 'dry mustard', 'salad oil', 'salt', 'celery seed']",8,cabbage sweet onion sugar vinegar dry mustard salad oil salt celery seed,snacks
3487,96738,greek salad with shaved fennel,20,6,"['fresh lemon juice', 'apple cider vinegar', 'dried greek oregano', 'extra virgin olive oil', 'salt & pepper', 'cayenne', 'red onion', 'cucumber', 'tomatoes', 'fennel bulb', 'black olives']",11,fresh lemon juice apple cider vinegar dried greek oregano extra virgin olive oil salt pepper cayenne red onion cucumber tomatoes fennel bulb black olives,light_meal
3512,97148,green bean salad with walnut vinaigrette,17,6,"['walnut pieces', 'virgin olive oil', 'fresh lemon juice', 'red wine vinegar', 'garlic', 'salt', 'green beans', 'cilantro', 'fresh ground black pepper']",9,walnut pieces virgin olive oil fresh lemon juice red wine vinegar garlic salt green beans cilantro fresh ground black pepper,light_meal
3550,97714,green lentils with garlic   onion  madhur jaffrey,65,11,"['vegetable oil', 'whole cumin seed', 'garlic cloves', 'onion', 'green lentil', 'water', 'salt', 'cayenne']",8,vegetable oil whole cumin seed garlic cloves onion green lentil water salt cayenne,snacks
3553,97732,green olive and caper relish,10,4,"['extra virgin olive oil', 'shallot', 'garlic cloves', 'green olives', 'capers', 'fresh basil', 'fresh ground black pepper']",7,extra virgin olive oil shallot garlic cloves green olives capers fresh basil fresh ground black pepper,other
3561,97865,green scrambled tofu,25,4,"['firm tofu', 'soy sauce', 'turmeric', 'pepper', 'dried oregano', 'olive oil', 'greek olives', 'sun-dried tomato', 'spinach']",9,firm tofu soy sauce turmeric pepper dried oregano olive oil greek olives sun dried tomato spinach,light_meal
3564,97871,green split pea   barley soup,175,13,"['split peas', 'carrots', 'celery', 'onion', 'water', 'pearl barley', 'bay leaf', 'salt', 'pepper', 'garlic', 'canola oil', 'onions', 'fresh dill']",13,split peas carrots celery onion water pearl barley bay leaf salt pepper garlic canola oil onions fresh dill,snacks
3594,98782,grilled corn  avocado and tomato salad,25,2,"['fresh corn', 'avocado', 'cherry tomatoes', 'red onion', 'olive oil', 'lime zest', 'fresh lime juice', 'cilantro', 'salt', 'pepper', 'brown sugar']",11,fresh corn avocado cherry tomatoes red onion olive oil lime zest fresh lime juice cilantro salt pepper brown sugar,main_meal
3626,100109,grilled tofu with chimichurri,20,8,"['extra firm tofu', 'fresh oregano', 'fresh parsley', 'garlic', 'hot red pepper flakes', 'white wine vinegar', 'extra virgin olive oil', 'salt']",8,extra firm tofu fresh oregano fresh parsley garlic hot red pepper flakes white wine vinegar extra virgin olive oil salt,main_meal
3663,100842,guineos en escabeche  green banana salad,70,15,"['bananas', 'onions', 'white vinegar', 'garlic cloves', 'olives', 'salt', 'whole black peppercorns', 'bay leaves', 'olive oil', 'salt and pepper']",10,bananas onions white vinegar garlic cloves olives salt whole black peppercorns bay leaves olive oil salt pepper,other
3709,102981,hawaij   traditional spice mix from yemen,7,3,"['black peppercorns', 'cumin seed', 'coriander seeds', 'green cardamom pods', 'whole cloves', 'ground turmeric']",6,black peppercorns cumin seed coriander seeds green cardamom pods whole cloves ground turmeric,other
3733,103436,healthy cinnamon baked tortilla chips,20,7,"['whole wheat tortillas', 'splenda granular', 'cinnamon']",3,whole wheat tortillas splenda granular cinnamon,desserts
3736,103446,healthy corn and tomato salad,10,3,"['tomatoes', 'frozen corn kernels', 'water chestnut', 'zucchini', 'cucumber', 'shallots', 'dried basil', 'dried oregano', 'dried tarragon', 'braggs liquid aminos']",10,tomatoes frozen corn kernels water chestnut zucchini cucumber shallots dried basil dried oregano dried tarragon braggs liquid aminos,light_meal
3739,103512,healthy french fries,45,8,"['yukon gold potatoes', 'olive oil', 'salt']",3,yukon gold potatoes olive oil salt,snacks
3741,103534,healthy gooey oatmeal cookies,30,6,"['rolled oats', 'whole wheat pastry flour', 'white flour', 'salt', 'semisweet chocolate morsel', 'walnuts', 'coconut oil', 'maple syrup', 'peanut butter', 'oatmeal', 'bananas', 'raisins']",12,rolled oats whole wheat pastry flour white flour salt semisweet chocolate morsel walnuts coconut oil maple syrup peanut butter oatmeal bananas raisins,desserts
3744,103581,healthy iced mocha,45,3,"['coffee', 'nonfat milk', 'sugar substitute', 'hot cocoa', 'peppermint extract', 'ice']",6,coffee nonfat milk sugar substitute hot cocoa peppermint extract ice,light_meal
3746,103588,healthy jungle bars,5,5,"['bananas', 'dried fig', 'dried apricot', 'pitted dates', 'raisins', 'granola cereal', 'toasted almond', 'almonds', 'flaked coconut']",9,bananas dried fig dried apricot pitted dates raisins granola cereal toasted almond almonds flaked coconut,snacks
3750,103647,healthy mexican tortilla pizza,20,7,"['whole wheat tortillas', 'tomatoes', 'green cabbage', 'fresh cilantro leaves', 'olive oil', 'onion', 'garlic clove', 'jalapeno pepper', 'black beans', 'lime juice', 'ground cumin', 'salt & freshly ground black pepper']",12,whole wheat tortillas tomatoes green cabbage fresh cilantro leaves olive oil onion garlic clove jalapeno pepper black beans lime juice ground cumin salt freshly ground black pepper,snacks
3753,103697,healthy oven hash browns,35,9,"['water', 'raw cashew nuts', 'onion powder', 'garlic powder', 'vegetarian poultry seasoning', 'onion', 'frozen shredded hash browns']",7,water raw cashew nuts onion powder garlic powder vegetarian poultry seasoning onion frozen shredded hash browns,breakfast
3764,103865,healthy vegan cocoa tofu brownies,37,9,"['firm silken tofu', 'soy yogurt', 'water', 'unsweetened applesauce', 'dark brown sugar', 'vanilla extract', 'whole wheat flour', 'flour', 'unsweetened cocoa powder', 'baking powder', 'salt', 'cinnamon', 'pumpkin pie spice']",13,firm silken tofu soy yogurt water unsweetened applesauce dark brown sugar vanilla extract whole wheat flour flour unsweetened cocoa powder baking powder salt cinnamon pumpkin pie spice,snacks
3766,103867,healthy vegan cookies,29,7,"['barley flour', 'spelt flour', 'baking powder', 'sunflower seeds', 'hemp seeds', 'pumpkin seeds', 'raisins', 'non-dairy chocolate chips', 'salt', 'flax seed meal', 'pure maple syrup', 'chocolate soymilk', 'blackstrap molasses', 'vanilla extract', 'canola oil']",15,barley flour spelt flour baking powder sunflower seeds hemp seeds pumpkin seeds raisins non dairy chocolate chips salt flax seed meal pure maple syrup chocolate soymilk blackstrap molasses vanilla extract canola oil,desserts
3777,104013,hearty 3 grain porridge,60,3,"['water', 'oats', 'barley', 'rice']",4,water oats barley rice,snacks
3786,104277,hearty vegetable barley soup,75,6,"['onion soup mix', 'black beans', 'tomato paste', 'carrots', 'barley', 'celery', 'frozen corn', 'frozen mixed vegetables', 'water', 'salt and pepper']",10,onion soup mix black beans tomato paste carrots barley celery frozen corn frozen mixed vegetables water salt pepper,main_meal
3818,105170,herbed marinated mushrooms,35,15,"['dried shiitake mushrooms', 'olive oil', 'button mushroom', 'garlic cloves', 'shallots', 'balsamic vinegar', 'thyme', 'fresh sage leaves', 'parsley', 'bay leaf', 'salt']",11,dried shiitake mushrooms olive oil button mushroom garlic cloves shallots balsamic vinegar thyme fresh sage leaves parsley bay leaf salt,snacks
3833,105534,hibiscus   rose hip iced tea with cranberry juice,15,3,"['hibiscus tea bags', 'hot water', 'cranberry juice', 'lemon', 'honey', 'mint']",6,hibiscus tea bags hot water cranberry juice lemon honey mint,snacks
3839,105819,hodas authentic hummus,15,6,"['chickpeas', 'tahini', 'lemons', 'garlic cloves', 'olive oil', 'salt']",6,chickpeas tahini lemons garlic cloves olive oil salt,other
3907,108251,honolulu skillet beans,25,7,"['onion', 'vegetable oil', 'beans', 'blackstrap molasses', 'white vinegar', 'tabasco sauce', 'prepared mustard', 'tomato paste', 'soy sauce', 'dark sesame oil', 'ground cumin', 'orange, rind of', 'fresh pineapple']",13,onion vegetable oil beans blackstrap molasses white vinegar tabasco sauce prepared mustard tomato paste soy sauce dark sesame oil ground cumin orange rind fresh pineapple,snacks
3914,108509,hot and sour mushroom soup  tom yum het,40,11,"['water', 'onion', 'lemongrass', 'kaffir lime leaves', 'galangal', 'fresh ginger', 'tamarind pulp', 'dried red chilies', 'hot green chili peppers', 'vegetable oil', 'tom yum paste', 'fried tofu', 'shiitake mushrooms', 'button mushrooms', 'soy sauce', 'caster sugar', 'lemon juice', 'fresh coriander', 'fresh basil leaf']",19,water onion lemongrass kaffir lime leaves galangal fresh ginger tamarind pulp dried red chilies hot green chili peppers vegetable oil tom yum paste fried tofu shiitake mushrooms button mushrooms soy sauce caster sugar lemon juice fresh coriander fresh basil leaf,main_meal
3920,109010,hot for hummus,30,7,"['chickpeas', 'lemon juice', 'tahini', 'harissa', 'garlic cloves', 'fresh parsley leaves', 'salt', 'water']",8,chickpeas lemon juice tahini harissa garlic cloves fresh parsley leaves salt water,snacks
3931,109222,hot orange spice cider,10,8,"['fresh orange juice', 'whole cloves', 'apple cider', 'tea', 'orange rind']",5,fresh orange juice whole cloves apple cider tea orange rind,other
3962,109759,huhi la smoothie,10,1,"['ice cubes', 'soft tofu', 'strawberries', 'guava juice', 'banana', 'pineapple juice', 'pineapple']",7,ice cubes soft tofu strawberries guava juice banana pineapple juice pineapple,snacks
3969,109822,hummus and veggie wrap,5,6,"['tortillas', 'hummus', 'cucumber', 'diced tomato', 'bell pepper', 'shoestring carrots', 'red onions', 'alfalfa sprout', 'lettuce']",9,tortillas hummus cucumber diced tomato bell pepper shoestring carrots red onions alfalfa sprout lettuce,snacks
3976,109851,hummus with black beans and chickpeas,1,3,"['black beans', 'chickpeas', 'garlic clove', 'ground cumin', 'tahini', 'fresh lemon juice', 'olive oil']",7,black beans chickpeas garlic clove ground cumin tahini fresh lemon juice olive oil,main_meal
4027,111024,indian lentil sandwich spread,20,3,"['cooked lentils', 'garlic cloves', 'ground coriander', 'ground cumin', 'ground turmeric', 'chili powder', 'ground ginger']",7,cooked lentils garlic cloves ground coriander ground cumin ground turmeric chili powder ground ginger,snacks
